step,layer,gamma_mag,beta_mag,gamma_var_tokens,beta_var_tokens,val_loss,ppl
15000,8,1.545727,0.377775,0.160617,0.055509,4.8123,123.01
15000,9,1.794394,0.392164,0.194025,0.050815,4.8123,123.01
15000,10,2.056394,0.539811,0.286755,0.089851,4.8123,123.01
15000,11,2.301933,0.747691,0.386744,0.173072,4.8123,123.01
16000,0,0.960937,0.106554,0.000494,0.000324,4.7708,118.01
16000,1,1.284947,0.196883,0.017117,0.006062,4.7708,118.01
16000,2,1.335709,0.263407,0.034901,0.013198,4.7708,118.01
16000,3,1.366086,0.190968,0.04307,0.023489,4.7708,118.01
16000,4,1.285376,0.1508,0.03162,0.015065,4.7708,118.01
16000,5,1.255446,0.207687,0.055438,0.038318,4.7708,118.01
16000,6,1.323408,0.341738,0.061747,0.058066,4.7708,118.01
16000,7,1.290344,0.320603,0.076025,0.060133,4.7708,118.01
16000,8,1.574705,0.398759,0.176737,0.057525,4.7708,118.01
16000,9,1.812295,0.407049,0.185999,0.049751,4.7708,118.01
16000,10,2.107958,0.574728,0.292031,0.093162,4.7708,118.01
16000,11,2.334825,0.758566,0.369998,0.16365,4.7708,118.01
17000,0,0.967421,0.108606,0.000471,0.000293,4.6913,108.99
17000,1,1.29668,0.211229,0.016122,0.006047,4.6913,108.99
17000,2,1.332557,0.263005,0.036971,0.014062,4.6913,108.99
17000,3,1.374243,0.188035,0.037991,0.020599,4.6913,108.99
17000,4,1.309843,0.151364,0.028658,0.014093,4.6913,108.99
17000,5,1.287767,0.218725,0.058856,0.040513,4.6913,108.99
17000,6,1.351098,0.36236,0.061313,0.058279,4.6913,108.99
17000,7,1.292247,0.322871,0.069083,0.056418,4.6913,108.99
17000,8,1.495246,0.368061,0.156484,0.056132,4.6913,108.99
17000,9,1.708826,0.368604,0.204005,0.055419,4.6913,108.99
17000,10,1.904643,0.471459,0.273204,0.08706,4.6913,108.99
17000,11,2.229947,0.685807,0.37737,0.16374,4.6913,108.99
18000,0,0.970034,0.119123,0.000589,0.000376,4.709,110.95
18000,1,1.286884,0.213536,0.01549,0.006165,4.709,110.95
18000,2,1.367399,0.271749,0.033409,0.013594,4.709,110.95
18000,3,1.399185,0.197008,0.041209,0.021832,4.709,110.95
18000,4,1.325871,0.153339,0.028113,0.014289,4.709,110.95
18000,5,1.271541,0.217917,0.060506,0.042544,4.709,110.95
18000,6,1.353847,0.363483,0.058429,0.057387,4.709,110.95
18000,7,1.269381,0.309466,0.070708,0.056746,4.709,110.95
18000,8,1.486025,0.366789,0.175044,0.059395,4.709,110.95
18000,9,1.713578,0.376079,0.215792,0.058652,4.709,110.95
18000,10,1.987276,0.520309,0.272831,0.089174,4.709,110.95
18000,11,2.304553,0.727694,0.42648,0.184086,4.709,110.95
